_id,userId,tweetId,createdAt,favorites,text,replies,retweets,hashtag
5f37f164682059287c708e44,1260119775273005057,1294642464192696327,Sat Aug 15 14:29:51 +0000 2020,0,"@jorgegutie730 @Ciclope78Hugo @2Colombianisima jajajaja, al  pobre ni  Uribe ni Duque lo determinan nilo  mientan,al contrario Petro y sus  camaradas dia a dia los persiguen, buscan  para  incriminarlos, buscan  audios,los  tergiversan  y  así...jajajajaja",0,0,Duque
5f37f16b682059287c708e46,412710835,1294642490943905792,Sat Aug 15 14:29:57 +0000 2020,0,"@Lauraggils También dejan una reflexión sobre el nivel de colonización mental que tiene la gente. Siguen arrodillandose a los gringos, sin importar que el Pence ese sólo le hizo un mandadito a Duque para que se sienta importante, y siga actuando favorable a los intereses gringos.",0,0,Duque
5f37f16b682059287c708e48,1243704574973788161,1294642492072239105,Sat Aug 15 14:29:58 +0000 2020,0,"Duque no ha hecho Otra Cosa q Buscar cuales fichas mover para Salvar a su amo de la Cárcel!
-UN PRESIDENTE- estaría más preocupado por hallar a los masacradores de los 5Niños en Cali, los 2 niños en Cauca,Los Soldados que mataron al periodista y a los indígenas 😡 https://t.co/PCrzyNlTNr",0,0,Duque
5f37f16c682059287c708e4a,1283698946582491136,1294641063555104776,Sat Aug 15 14:24:17 +0000 2020,1,@Lucas89777309 El país está o el centro democrático lo tiene tan vuelto mierda q fue capturar al narcotráficante Uribe y si le acabo todo a duque le toca es hablar de Venezuela entienda duque el narcotrafico lo compro para q este solo cuidando los viajes de cocaína no más nefasto https://t.co/4lNiogoreY,0,1,Duque
5f37f172682059287c708e4c,736337512248029184,1294633658834399236,Sat Aug 15 13:54:52 +0000 2020,42,"El subpresidente Iván Duque, preocupado más por el confort de Nicolás Maduro, que por la masacre de cinco niños en Cali.

Estamos llevados del hijueputas sino sacamos este mal gobierno a patadas de Palacio el 2022",2,10,Duque
5f37f179682059287c708e4e,1054060948078628866,1294642553061507072,Sat Aug 15 14:30:12 +0000 2020,0,"@cesarlopezmusic @empleored1 Definitivamente deberíamos crear un grupo de intelectuales, artistas y trabajadores de la cultura pará gritar a viva voz al mundo y al sordo de Duque:NO Más!",0,0,Duque
5f37f17a682059287c708e50,154670681,1294627042844188673,Sat Aug 15 13:28:34 +0000 2020,14,"1-Si Uribe tuvo que inventarse un presidente tan gelatinoso como Duque, no se ve que pueda señalar de nuevo a dedo una carta fuerte,porque no la tiene. En el Pos-Uribe el plato está servido para la oposición,  para en dos años dar el puntillazo final al régimen del autoritarismo",2,7,Duque
5f37f17b682059287c708e52,1099344290696871936,1294642560049217536,Sat Aug 15 14:30:14 +0000 2020,0,Esse meu presida só me dá orgulho.....🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0,0,Duque
5f37f17e682059287c708e54,20661700,1294631097532325888,Sat Aug 15 13:44:41 +0000 2020,6,"Por una vez el pueblo español tendría que seguir a Rafael Alberti:
""A galopar,
a galopar,
hasta enterrarlos en el mar!""

Ya está bien de que estos mangarranes nos tomen el pelo: ""hasta enterrarlos en el mar""",3,5,Duque
5f37f189682059287c708e56,1049043399964315648,1294642620027764736,Sat Aug 15 14:30:28 +0000 2020,0,La dictadura de Duque está basada en el amiguismo del más vergonzoso. Ha elegido una cuadrilla de rábulas en los altos cargos para que lo respalden en su hosco proceder.,0,0,Duque
5f37f18a682059287c708e58,172441120,1294468733361164291,Sat Aug 15 02:59:30 +0000 2020,5,"Colombia y Honduras, viven bajo los esquemas de seguridad e influencia de los tipos ojos azules de Washington.. He aquí los resultados, lo mismo pasa en honduras donde los cuerpos de investigadores son corruptos también..",1,4,Duque
5f37f18e682059287c708e5a,1245414763745677312,1294641342665154562,Sat Aug 15 14:25:24 +0000 2020,1,"El vicepresidente, Mike Pence, pidió el viernes el fin del arresto domiciliario del expresidente y senador colombiano Álvaro Uribe Velez, a quien describió como un ""héroe"", tras una conversación telefónica con el actual mandatario de Colombia, Iván Duque.https://t.co/NRegddLvQa",0,1,Duque
5f37f18e682059287c708e5c,1221333104163540992,1294642640525373441,Sat Aug 15 14:30:33 +0000 2020,0,"Acontecimentos, Que nós deixa de bobeira. 💔😔
Vai com DEUS, meus amigos, Pato duque, e Caio cascão, mcc mais uma vez sendo vítima de covardia desses polícia. 👎💔😭",0,0,Duque
5f37f191682059287c708e5e,147705809,1294327494364016640,Fri Aug 14 17:38:16 +0000 2020,145,"Es cada vez más clara la distancia entre César Gaviria y su liberalismo, y el gobierno Duque. Digo ""su liberalismo"" porque Gaviria se apropió del partido y lo enajenó de las ideas. Lo convirtió en un partido transaccional, dejando botado a su propio candidato. Todo muy indigno.",11,28,Duque
5f37f197682059287c708e60,1006874666986811392,1294623119706128386,Sat Aug 15 13:12:59 +0000 2020,54,Al vice de USA le parece un héroe Alvaraco! Pero Iván Duque no tiene dignidad parece que permite esto a cambio de volver con su discurso de Venezuela 😓,0,17,Duque
5f37f197682059287c708e62,170887516,1294642677691166720,Sat Aug 15 14:30:42 +0000 2020,0,"AUV un héroe, jajajaja jajajaja jajajaja jajajaja, es solo un asesino con poder que la corte lo puso bajo arresto mientras lo procesa.
#Duque traidor de la patria",0,0,Duque
