0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
2,56,4,2,641,63,11,642,2,643,644,12,2,645,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,326,7,130,209,4,2,327,73,17,160,131,2,27,328,329,2,126,17,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,326,7,130,209,4,2,327,73,17,160,131,2,27,328,329,2,126,17,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,10,210,4,7,330,57,2,331,11,2,4,132,161,7,90,7,332,333,5,7,334,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,10,210,4,7,330,57,2,331,11,2,4,132,161,7,90,7,332,333,5,7,334,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,8,647,2,648,2,649,6,2,212,650,108,3,110,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38,163,102,2,96,133,335,156,11,323,273,43,11,213,164,4,7,10,652,214,12,2,336,3,310,165,653,2,215,5,654,2,337,655,26,74,75,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,33,29,9,111,2,47,2,657,658,9,44,22,659,216,6,660,10,67,166,11,661,28,662,34,5,338,84,339,26,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3,2,299,120,2,36,55,85,4,103,2,31,300,13,65,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,10,154,4,9,340,2,664,4,7,112,6,4,5,37,2,665,3,121,2,23,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2,217,667,11,2,4,5,9,2,668,17,36,4,218,342,3,2,16,5,343,3,669,26,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,672,673,674,675,676,111,2,344,100,7,4,2,345,20,44,677,2,54,129,2,678,3,346,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,681,682,25,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,683,684,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,8,2,98,686,219,33,347,20,687,10,688,6,20,33,4,2,689,65,690,6,33,2,90,162,12,4,2,89,5,10,348,691,2,36,33,347,35,155,349,3,2,6,33,162,12,4,9,89,0,0,0,0,0,0,0,0
692,4,693,98,2,694,2,350,3,65,16,9,2,167,197,2,168,25,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,695,3,2,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,28,20,697,220,221,91,24,698,3,2,58,11,2,4,20,31,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,700,701,2,4,50,12,16,7,222,28,2,2,702,5,55,11,351,352,17,148,39,703,302,263,264,6,59,2,2,60,2,42,3,353,6,24,101,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,134,704,18,705,159,355,7,128,356,3,706,105,18,61,44,12,2,214,3,7,223,4,2,707,38,357,11,2,66,4,2,708,6,2,47,51,2,709,10,57,17,69,358,10,359,26,74,75,710,0,0,0,0,0,0
13,2,711,65,16,219,6,14,224,712,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,27,714,161,52,715,9,31,716,2,717,2,360,91,92,169,2,718,6,113,170,13,38,719,165,165,165,7,10,225,225,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,37,10,361,720,226,721,362,6,722,18,723,13,2,724,18,725,6,13,2,726,3,2,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13,728,363,5,16,729,14,98,730,731,3,336,135,271,2,150,3,732,733,6,734,2,42,735,13,10,227,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,29,21,736,26,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,364,46,9,94,4,738,2,171,136,50,172,2,739,2,51,76,67,21,2,740,3,741,47,3,742,31,10,173,15,37,743,365,87,744,3,745,746,6,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,747,228,5,748,14,174,153,226,23,152,69,43,9,94,31,60,366,52,7,2,749,108,4,2,54,25,367,368,5,2,229,6,9,368,5,2,750,3,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,751,18,36,752,4,76,349,18,36,7,753,9,24,754,230,41,204,755,370,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,25,22,175,64,757,5,758,175,759,18,760,176,43,44,24,761,762,4,2,35,763,764,371,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,8,50,130,766,23,4,2,227,372,7,153,6,373,102,27,11,10,210,268,57,21,117,4,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,769,770,18,212,771,6,772,5,7,366,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,276,198,119,151,774,280,283,284,32,285,152,281,282,288,277,278,279,289,286,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,221,2,4,77,132,166,3,4,2,374,775,29,28,776,777,2,778,2,24,6,779,2,151,780,18,24,11,77,2,781,782,6,2,231,5,270,44,375,2,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,136,170,13,156,15,783,2,784,4,163,13,2,785,93,786,787,788,789,27,790,2,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,2,377,21,791,5,2,4,100,27,16,27,73,12,378,3,98,7,90,23,4,2,379,380,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,82,12,14,224,232,12,793,9,22,233,794,9,2,381,5,128,795,2,381,5,11,312,354,73,12,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,25,798,33,2,168,4,16,22,64,102,7,2,799,18,64,4,177,6,4,9,94,4,41,137,3,800,11,2,42,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,37,804,6,805,51,52,806,6,350,18,382,178,9,24,47,11,383,3,2,42,10,384,807,86,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,809,46,27,810,138,811,179,139,88,99,17,140,141,72,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
